"CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
2,0,4715,0.7167,0.46545,9833,8792,8079,1036.5,0,163
3,0,547,0.7167,0.46545,7667,8792,9762,1036.5,0.6752,117
2,0,8264,0.7167,0.1466,11666.5,8792,13472,1036.5,0.7188,3988
3,0,3294,0.7167,0.46545,5500,8792,9651,1036.5,0.469,82
3,0,5780,0.7167,0.46545,7292.5,8792,14673,1036.5,0.7143,111
3,0,3973,0.7167,0.46545,9833,8792,6875,1036.5,0,45
2,0,1341,0.7167,0.46545,9833,8792,7285,1036.5,0,136
3,0,6859,0.7167,0.46545,11530,8792,13111,1036.5,0.7358,37
3,0,10824,0.7167,0.46545,7139,8792,11957,1036.5,0.5327,125
3,0,8875,0.7167,0.46545,8100,8792,12049,1036.5,0.6909,148
2,0,14,0.7167,0.46545,9833,8792,5278,1036.5,0,252
2,0,5521,0.5573,0.5088,12750,8792,8247,1007,0.5697,497
3,0,2108,0.7167,0.46545,9833,8792,13254,1036.5,0,97
3,0,6011,0.7167,0.46545,9833,8792,4072,1036.5,0,50
3,0,1112,0.7167,0.46545,9833,8792,8708,1036.5,0,32
3,0,5003,0.7167,0.46545,9833,8792,5857,1036.5,0,40
3,0,6252,0.7167,0.46545,9833,8792,7357,1036.5,0,82
2,0,8204,0.1386,0.2019,9000,8792,8500,666,0.8983,922
2,0,1510,0.7167,0.6875,9833,8792,3922,1036.5,0,37
3,0,3714,0.7167,0.46545,6500,8792,12334,1036.5,0.554,133
2,0,6781,0.7167,0.3496,14250,8792,13689,1036.5,0.5794,305
3,0,9221,0.7167,0.46545,8300,8792,12538,1036.5,0.4841,90
2,0,4137,0.5838,0.4435,10250,8792,14271,1036.5,0.7327,297
3,0,8253,0.7167,0.46545,9833,8792,11709,1036.5,0.1667,12
3,0,6488,0.7167,0.46545,8727,8792,11585,1036.5,0.4751,186
3,0,5595,0.7167,0.46545,5881,8792,10727,1036.5,0.6087,38
3,0,7383,0.7167,0.46545,9667.5,8792,10673,1036.5,0.5403,64
3,0,3357,0.7167,0.46545,9816.5,8792,10307,1036.5,0.9492,38
3,0,3381,0.7167,0.46545,9500,8792,10187,1036.5,0.8872,137
3,0,2920,0.7167,0.46545,5500,8792,9516,1036.5,0.4746,127
3,0,13317,0.7167,0.46545,9833,8792,10588,1036.5,0.6087,20
3,0,7137,0.7167,0.46545,7059,8792,10242,1036.5,0.4761,176
3,0,5484,0.7167,0.46545,7833,8792,8959,1036.5,0.8026,44
2,0,7861,0.7167,0.4806,10174.5,8792,12807,1036.5,0.5712,742
2,0,379,0.1301,0.6454,9833,8792,11491,1050,0,1513
2,0,8042,0.9638,0.4345,13500,8792,12335,1036.5,0.44,9723
3,0,98,0.7167,0.46545,9833,8792,4060,1036.5,0,45
3,0,420,0.7167,0.46545,9833,8792,11290,1036.5,0.2979,26
2,0,4937,0.9886,0.25,18460,8792,10552,970,0.7439,219
3,0,4762,0.7167,0.46545,9833,8792,8586,1036.5,0.4821,42
2,0,767,0.7167,0.46545,9833,8792,10692,1036.5,0,448
3,0,4933,0.7167,0.46545,8642.5,8792,10019,1036.5,0.7302,37
3,0,5505,0.7167,0.46545,10429.5,8792,4096,1036.5,0.4865,83
3,0,7057,0.7167,0.46545,12000,8792,7412,1036.5,0.5862,45
2,0,985,0.7167,0.5275,7166,8792,11664,1036.5,0.5806,809
3,0,9471,0.7167,0.46545,11950,8792,12550,1036.5,0.7636,33
3,0,6962,0.7167,0.46545,14093,8792,9092,1036.5,0.7089,116
3,0,7212,0.7167,0.46545,14000,8792,12394,1036.5,0.4659,281
3,0,7438,0.7167,0.46545,9651,8792,12276,1036.5,0.9181,556
3,0,10213,0.7167,0.46545,9075,8792,12823,1036.5,0.7143,62
3,0,11720,0.7167,0.46545,9833,8792,12112,1036.5,0.5625,103
3,0,9898,0.7167,0.46545,9500,8792,10842,1036.5,0.4847,140
2,0,13683,1,0.46545,9833,8792,10473,1036.5,0.5185,32
2,0,13049,0.0741,0.9694,7500,8792,8413,1495,0.0482,5234
2,0,8825,1,0.16,9833,8792,12614,1036.5,0,239
2,0,7582,1,0.46545,9833,8792,3484,1036.5,0,68
3,0,9223,0.7167,0.46545,12000,8792,10817,1036.5,0.5633,157
3,0,4694,0.7167,0.46545,5500,8792,8601,1036.5,0.407,86
3,0,1713,0.7167,0.46545,6473,8792,11032,1036.5,0.6036,76
2,0,6462,0.5625,0.46545,12000,8792,12580,1036.5,0.7857,79
2,0,8145,0.9583,0.46545,9833,8792,12552,1036.5,0,106
3,0,5128,0.7167,0.46545,4857,8792,12903,1036.5,0.8523,270
2,0,5551,1,0.1176,9833,8792,4726,1036.5,0,47
2,0,15207,1,0.0833,9833,8792,3737,1036.5,0,49
2,0,8119,0.7167,0.46545,6400,8792,14187,1036.5,0.1657,675
3,0,11470,0.7167,0.46545,2617.5,8792,7738,1036.5,0.8912,194
3,0,5751,0.7167,0.46545,16500,8792,12158,1036.5,0.8873,56
3,0,9032,0.7167,0.46545,7849.5,8792,12102,1036.5,0.7512,124
2,0,3428,0.4795,0.46545,15250,8792,12223,1036.5,0.6317,336
2,0,730,0.7167,0.46545,9833,8792,6112,1036.5,0.8261,23
2,0,3774,0.2857,0.46545,13255,8792,8145,1036.5,0.6202,123
2,0,6437,0.7167,0.46545,9833,8792,8940,1036.5,0.2913,85
3,0,11645,0.7167,0.4432,9500,8792,9005,1036.5,0.7041,275
2,0,5068,0.5505,0.975,15750,8792,7059,1331,0.3721,161
3,0,12419,0.7167,0.46545,9500,8792,10885,1036.5,0.8324,274
2,0,1098,0.7167,0.7619,9833,8792,6217,1036.5,0,120
2,0,5933,1,0.4348,9833,8792,8897,1036.5,0,148
3,0,12639,0.7167,0.46545,5974.5,8792,11673,1036.5,0.9205,44
2,0,10164,0.5,0.46545,11950,8792,12109,1036.5,0.823,123
2,0,1248,0.9167,0.6471,9833,8792,11656,1036.5,0,207
2,0,9634,1,0.2,9833,8792,7220,1036.5,0,33
2,0,8603,0.8,0.5385,9833,8792,7900,1036.5,0,50
2,0,5267,0.7167,0.0959,9833,8792,4683,1036.5,0,160
3,0,12125,0.7167,0.46545,7019,8792,12783,1036.5,0.6449,103
3,0,10607,0.4404,0.5696,13300,8792,11116,1036.5,0.7054,6426
2,0,16095,0.7167,0.46545,9833,8792,8338,1036.5,0.2353,87
3,0,16017,0.7167,0.46545,6335,8792,8504,1036.5,0.7797,58
3,0,588,0.2992,0.7072,8386,8792,11933,1036.5,0.8003,726
2,0,3766,1,0.3889,9833,8792,5675,1036.5,0,164
2,0,7439,0.7167,0.7895,9833,8792,4612,1036.5,0,263
2,0,2202,0.7167,0.3855,9833,8792,8378,1036.5,0,269
2,0,5000,0.7167,0.5417,9833,8792,5595,1036.5,0,190
2,0,5803,1,0.46545,9833,8792,9033,1036.5,0.8065,35
2,0,11193,1,0.0667,9833,8792,12029,1036.5,0,321
2,0,9404,1,0.0217,5500,8792,7851,1036.5,0,180
2,0,13091,0.7167,0.4325,9833,8792,4906,1036.5,0,1814
3,0,1786,0.7167,0.46545,4750,8792,11282,1036.5,0.3118,116
2,0,6426,0.7167,0.46545,5500,8792,8242,1036.5,0.4833,562
2,0,6678,1,0.6667,9833,8792,4140,1036.5,0,119
2,0,5753,1,0.0606,5500,8792,1172,1036.5,0,152
2,0,3672,1,0.3333,9833,8792,7441,1036.5,0,104
2,0,8136,0.7167,0.2813,9833,8792,5245,1036.5,0,220
2,0,18194,0.8438,0.8788,9833,8792,5223,1036.5,0,75
2,0,4401,1,0.7423,9833,8792,5237,1036.5,0,470
2,0,4805,1,0,9833,8792,8617,1036.5,0,164
2,0,8381,0.3107,0.6944,12750,8792,12996,998,0.6926,440
3,0,12387,0.7167,0.46545,9500,8792,8711,1036.5,0.4483,47
2,0,7197,0.7167,0.1111,9833,8792,9186,1036.5,0.7887,67
3,0,2062,0.7167,0.46545,9833,8792,8229,1036.5,0.4717,143
3,0,4827,0.7167,0.46545,9833,8792,8504,1036.5,0.0789,42
3,0,3345,0.7167,0.46545,5500,8792,5756,1036.5,0.25,39
3,0,5120,0.7167,0.46545,8500,8792,10278,1036.5,1,43
3,0,5910,0.7167,0.46545,6650,8792,12038,1036.5,0.8564,182
3,0,8277,0.7167,0.46545,9500,8792,13480,1036.5,0.5278,189
3,0,9530,0.7167,0.46545,6406,8792,13183,1036.5,0.7234,97
2,0,4279,0.7167,0.46545,9833,8792,5718,1036.5,1,36
3,0,395,0.7167,0.46545,9833,8792,6394,1036.5,0,60
3,0,5026,0.7167,0.46545,8780.5,8792,11747,1036.5,0.6667,69
3,0,3386,0.7167,0.46545,8299.5,8792,8113,1036.5,0.5844,53
3,0,3567,0.7167,0.46545,12000,8792,10724,1036.5,0.6963,63
3,0,928,0.7167,0.46545,9833,8792,8739,1036.5,0.4545,7
3,0,8290,0.7167,0.46545,9994.5,8792,13815,1036.5,0.2547,56
2,0,433,0.7167,0.2119,9833,8792,3854,1036.5,0,537
2,0,4195,0.7167,0.1765,6082,8792,6285,1036.5,0.3738,486
3,0,2728,0.7167,0.46545,11875,8792,10425,1036.5,0.8261,161
2,0,5635,0.7167,0.5385,9833,8792,5336,1036.5,0.5652,37
