"OPEID","INSTNM","CITY","STABBR","ZIP","CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
778000,"New Castle School of Trades","New Castle","PA","16101",3,0,8684,1,0.46545,8593,8792,9551,1036.5,0.5138,856
656000,"Pittsburgh's Ohio Valley Hospital School of Nursing","McKees Rocks","PA","15136",2,0,191,0.7167,0.46545,9833,8792,12329,1036.5,0.1884,75
2289500,"Pace Institute","Reading","PA","19601-3542",3,0,9550,0.7167,0.46545,10661,8792,8894,1036.5,0.6773,65
2119301,"Pennsylvania Academy of Cosmetology Arts and Sciences-Du Bois","Du Bois","PA","15801",3,0,5436,0.7167,0.46545,8496,8792,12662,1036.5,0.6076,56
895500,"The Salon Professional Academy-Altoona","Altoona","PA","16602-2419",3,0,7723,0.7167,0.46545,8027,8792,7287,1036.5,0.6379,29
2092500,"Laurel Technical Institute","Sharon","PA","16146",3,0,11849,0.7418,0.46545,10349,8792,7232,1036.5,0.8566,285
1252300,"Talmudical Yeshiva of Philadelphia","Philadelphia","PA","19131",2,0,16627,0.7273,0.4571,9833,8792,10018,1036.5,0,124
1162200,"Welder Training and Testing Institute","Allentown","PA","18109-3253",3,0,9117,0.7167,0.46545,9500,8792,12551,1036.5,0.4878,88
1313400,"Yeshivath Beth Moshe","Scranton","PA","18505",2,0,18770,0.7167,0.7647,9833,8792,5861,1036.5,0.4151,52
2127400,"YTI Career Institute-York","York","PA","17402",3,0,11266,0.7167,0.46545,9500,8792,8031,1036.5,0.8123,2027
817811,"Empire Beauty School-Providence","Providence","RI","02903-3052",3,0,8629,0.7167,0.46545,6837,8792,14058,1036.5,0.7103,135
2584400,"New England Tractor Trailer Training School of Rhode Island","Pawtucket","RI","2860",3,0,12499,0.7167,0.46545,6295.5,8792,10543,1036.5,0.5528,157
2356600,"Charleston Cosmetology Institute","Charleston","SC","29420",3,0,9211,0.7167,0.46545,5300,8792,12337,1036.5,0.4607,106
2338600,"Charzanne Beauty College","Greenwood","SC","29649",3,0,195,0.7167,0.46545,9833,8792,12568,1036.5,0.102,59
492300,"Clinton College","Rock Hill","SC","29730",2,0,4296,0.7167,0.5893,12000,8792,4758,1036.5,0.9137,185
3052300,"Kenneth Shuler School of Cosmetology-North Augusta","North Augusta","SC","29841",3,0,10423,0.7167,0.46545,8003,8792,12604,1036.5,0.6148,85
344700,"Spartanburg Methodist College","Spartanburg","SC","29301-5899",2,0,8284,0.8812,0.46545,6500,8792,10916,859,0.6979,813
2567600,"Sumter Beauty College","Sumter","SC","29150-2871",3,0,1361,0.7167,0.46545,9833,8792,7310,1036.5,0,28
2137100,"Black Hills Beauty College","Rapid City","SD","57701",3,0,3330,0.7167,0.46545,9125,8792,8363,1036.5,0.4231,112
2297800,"Headlines Academy Inc","Rapid City","SD","57701",3,0,8058,0.7167,0.46545,7917,8792,10550,1036.5,0.5479,81
1013800,"Stewart School","Sioux Falls","SD","57104",3,0,5569,0.7167,0.46545,7080,8792,8062,1036.5,0.3846,142
2257400,"Arnolds Beauty School","Milan","TN","38358",3,0,8049,0.7167,0.46545,9500,8792,12881,1036.5,0.4063,72
885900,"John A Gupton College","Nashville","TN","37203-2954",2,0,9065,0.7167,0.46545,12000,8792,12015,1036.5,0.5725,122
349500,"Johnson University","Knoxville","TN","37998",2,0,7453,0.5464,0.5723,14250,8792,13351,1022,0.601,826
2255000,"Knoxville Institute of Hair Design","Knoxville","TN","37917",3,0,8379,0.7167,0.46545,9833,8792,5218,1036.5,0,40
349900,"Lane College","Jackson","TN","38301-4598",2,0,8453,0.4916,0.3082,16018,8792,10823,716,0.9312,1554
350100,"Le Moyne-Owen College","Memphis","TN","38126-6595",2,0,9809,0.2335,0.1685,12250,8792,12091,760,0.8312,1009
350200,"Lincoln Memorial University","Harrogate","TN","37752-9900",2,0,13098,0.6995,0.5304,15000,8792,9095,1054,0.866,1632
865500,"Genesis Career College-Cookeville","Cookeville","TN","38501-1907",3,0,18,0.7167,0.46545,6333,8792,10666,1036.5,0.8445,518
1044700,"Plaza Beauty School","Memphis","TN","38117-4822",3,0,7370,0.7167,0.46545,8393,8792,13165,1036.5,0.5535,137
956700,"Tennessee School of Beauty of Knoxville Inc","Knoxville","TN","37921",3,0,7752,0.7167,0.46545,5500,8792,10813,1036.5,0.0552,173
3647300,"New Concepts School of Cosmetology","Cleveland","TN","37311",3,0,3261,0.7167,0.46545,4750,8792,8695,1036.5,0.0968,124
2294000,"Volunteer Beauty Academy-Dyersburg","Dyersburg","TN","38024-1604",3,0,4563,0.7167,0.46545,7500,8792,10114,1036.5,0.4472,59
1155300,"William Moore College of Technology","Memphis","TN","38104-7240",2,0,3824,0.7167,0.46545,9833,8792,11256,1036.5,0,219
2081400,"Arlington Baptist College","Arlington","TX","76012-3425",2,0,5834,0.7167,0.3333,13542,8792,13102,1036.5,0.8369,230
1226800,"Baldwin Beauty School-South Austin","Austin","TX","78704-4785",3,0,5702,0.7167,0.46545,9833,8792,8213,1036.5,0,76
